178.137.22.33 - - [28/Aug/2013:12:58:50 +0300] "GET / HTTP/1.1" 403 566 "https://www.google.com.ua/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36"
178.137.22.33 - - [28/Aug/2013:12:58:50 +0300] "GET /favicon.ico HTTP/1.1" 403 557 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36"
91.207.8.110 - - [28/Aug/2013:13:00:46 +0300] "GET /news/peshexodnyj-poxod-1-k-s-na-karpaty-12-27-avgusta/trackback/ HTTP/1.1" 403 566 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
37.140.141.22 - - [28/Aug/2013:13:01:07 +0300] "GET /wp-includes/images/smilies/icon_question.gif HTTP/1.1" 406 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
37.140.141.22 - - [28/Aug/2013:13:07:44 +0300] "GET /wp-includes/images/smilies/icon_mrgreen.gif HTTP/1.1" 406 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
37.140.141.22 - - [28/Aug/2013:13:13:59 +0300] "GET /wp-includes/images/wlw/wp-icon.png HTTP/1.1" 406 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
194.44.18.122 - - [28/Aug/2013:13:17:44 +0300] "GET / HTTP/1.1" 403 566 "http://donntu.edu.ua/index.php?option=com_content&view=article&id=71&Itemid=2&lang=uk" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36"
194.44.18.122 - - [28/Aug/2013:13:17:45 +0300] "GET /favicon.ico HTTP/1.1" 403 557 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36"
37.140.141.22 - - [28/Aug/2013:13:20:09 +0300] "GET /wp-includes/images/smilies/icon_cool.gif HTTP/1.1" 406 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET /news/poxod-vyxodnogo-dnya-vdol-severskogo-donca/ HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET / HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET /news/poxod-vyxodnogo-dnya-vdol-severskogo-donca/ HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 6.0; rv:17.0) Gecko/17.0 Firefox/17.0"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET / HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 6.0; rv:17.0) Gecko/17.0 Firefox/17.0"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET /news/poxod-vyxodnogo-dnya-vdol-severskogo-donca/ HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET / HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET /news/poxod-vyxodnogo-dnya-vdol-severskogo-donca/ HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.4; MRA 6.0 (build 6005); User-agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1); .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MRIE8PACK 2.0.1)"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET / HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.4; MRA 6.0 (build 6005); User-agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1); .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MRIE8PACK 2.0.1)"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET /news/poxod-vyxodnogo-dnya-vdol-severskogo-donca/ HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
176.102.192.10 - - [28/Aug/2013:13:26:16 +0300] "GET / HTTP/1.0" 403 885 "http://mirskidok.ru/oteli-italii/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
37.140.141.22 - - [28/Aug/2013:13:26:29 +0300] "GET /icons/folder.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
37.140.141.22 - - [28/Aug/2013:13:33:28 +0300] "GET /icons/blank.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
